Dataset,Model,Threshold_Type,Threshold,F1,TPR,FPR,Precision,TP,TN,FP,FN
Complete,ori_model_nll,Optimal_F1,0.6617202806954432,0.6565420560747663,1.0,0.9865771812080537,0.48869565217391303,281,4,294,0
Complete,ori_model_nll,Zero,0.0,0.6534883720930232,1.0,1.0,0.4853195164075993,281,0,298,0
Complete,update_model_nll,Optimal_F1,0.422114584783111,0.6533957845433255,0.9928825622775801,0.9865771812080537,0.4869109947643979,279,4,294,2
Complete,update_model_nll,Zero,0.0,0.6534883720930232,1.0,1.0,0.4853195164075993,281,0,298,0
Complete,cdr3_pretrained_nll,Optimal_F1,0.9053585529327391,0.6542491268917345,1.0,0.9966442953020134,0.486159169550173,281,1,297,0
Complete,cdr3_pretrained_nll,Zero,0.0,0.6534883720930232,1.0,1.0,0.4853195164075993,281,0,298,0
Complete,tcr_pretrained_nll,Optimal_F1,0.9570991095870433,0.6557377049180327,0.99644128113879,0.9832214765100671,0.4886561954624782,280,5,293,1
Complete,tcr_pretrained_nll,Zero,0.0,0.6534883720930232,1.0,1.0,0.4853195164075993,281,0,298,0
Composite,optimized_composite_condition_1_nll,Optimal_F1,2.2628653049468994,0.6542491268917345,1.0,0.9966442953020134,0.486159169550173,281,1,297,0
Composite,optimized_composite_condition_1_nll,Zero,0.0,0.6534883720930232,1.0,1.0,0.4853195164075993,281,0,298,0
Composite,staged_composite_condition_1_nll,Optimal_F1,2.1031572818756104,0.6542491268917345,1.0,0.9966442953020134,0.486159169550173,281,1,297,0
Composite,staged_composite_condition_1_nll,Zero,0.0,0.6534883720930232,1.0,1.0,0.4853195164075993,281,0,298,0
