Dataset,Model,Threshold_Type,Threshold,F1,TPR,FPR,Precision,TP,TN,FP,FN
Complete,ori_model,Optimal_F1,-1.5715158371010212,0.6537966537966537,0.9039145907473309,0.8120805369127517,0.5120967741935484,254,56,242,27
Complete,ori_model,Zero,0.0,0.0,0.0,0.0,0.0,0,298,0,281
Complete,update_model,Optimal_F1,-1.7913150736177814,0.655581947743468,0.9822064056939501,0.9563758389261745,0.4919786096256685,276,13,285,5
Complete,update_model,Zero,0.0,0.0,0.0,0.0,0.0,0,298,0,281
Complete,cdr3_pretrained,Optimal_F1,-2.4702287322342995,0.655011655011655,1.0,0.9932885906040269,0.48700173310225303,281,2,296,0
Complete,cdr3_pretrained,Zero,0.0,0.0,0.0,0.0,0.0,0,298,0,281
Complete,tcr_pretrained,Optimal_F1,-2.8877090962246212,0.655011655011655,1.0,0.9932885906040269,0.48700173310225303,281,2,296,0
Complete,tcr_pretrained,Zero,0.0,0.0,0.0,0.0,0.0,0,298,0,281
Composite,optimized_composite_condition_1,Optimal_F1,-10.059792518615724,0.6542491268917345,1.0,0.9966442953020134,0.486159169550173,281,1,297,0
Composite,optimized_composite_condition_1,Zero,0.0,0.0,0.0,0.0,0.0,0,298,0,281
Composite,staged_composite_condition_1,Optimal_F1,-12.245693818487304,0.6580188679245282,0.9928825622775801,0.9664429530201343,0.49206349206349204,279,10,288,2
Composite,staged_composite_condition_1,Zero,0.0,0.0,0.0,0.0,0.0,0,298,0,281
